id;region;vollzeit;einwohner;siedler ;budget_zukunft ;budget_vergangenheit;fachkräfte ;herausforderung_rank_1 ;herausforderung_rank_2 ;herausforderung_rank_3 ;abstimmung;strategische_kommunikation ;leistung ;zusammenarbeit ;geschlechterverteilung ;altersverteilung ;diversitaet ;migration ;regelung_1;regelung_2 ;regelung_3;regelung_4;regelung_5;regelung_6;arbeitsgestaltung_1;arbeitsgestaltung_2;arbeitsgestaltung_3;arbeitsgestaltung_4;arbeitsgestaltung_5;arbeitsgestaltung_6;arbeitsgestaltung_7;arbeitsgestaltung_8;arbeitsweise_1;arbeitsweise_2;arbeitsweise_3;arbeitsweise_4;arbeitsweise_5;arbeitsweise_6;arbeitsweise_7;arbeitsweise_8;arbeitsweise_9;erfolgskontrolle ;rolle ;rolle_kommentar ;kodex ;journalist_1;journalist_2;journalist_3;journalist_4;journalist_gruende_1;journalist_gruende_2;journalist_gruende_3;journalist_gruende_4;journalist_gruende_5;journalist_gruende_6;ki;abschluss ;studium ;kommverband ;weiterbildung_1;weiterbildung_2;weiterbildung_3;weiterbildung_4;weiterbildung_5;weiterbildung_6;weiterbildung_7;leitung;teilbereich  ;bereiche ;anstellung;teilzeit ;beruf_komm;beruf_stelle;weg;alter;geschlecht ;zufrieden 
4;A111;A23;A313;A42;A62;A52;A72;AO07;AO01;AO03;AO03;AO04;AO04;AO04;AO02;AO04;A161b;F172;;Y;;;;;Y;;;;;;;;;Y;;Y;;;;;;A243;F254;;A251b;;Y;;;;Y;;;;Y;A272;A284;A293;A293b;Y;;;;;;;A312;A3113;;A321;;F336;F345;A352;A385;A392;A404
5;A111;A22;A313;A42;A61;A52;A74;AO05;AO11;AO03;AO02;AO05;AO04;AO04;AO02;AO04;A162b;F171;;;Y;Y;;;Y;Y;;Y;Y;Y;;;Y;;;Y;Y;;Y;;;A243;F254;;A253b;;Y;;;Y;Y;Y;Y;Y;Y;A274;A284;A292;A294b;;;;;Y;;;A314;;;A321;;F334;F343;A353;A382;A391;A404
7;A19;A22;A36;A42;A62;A52;A74;AO05;AO03;AO04;AO03;AO02;AO02;AO05;AO04;AO02;A162b;F171;;Y;Y;;Y;;Y;;;Y;;;Y;;Y;Y;Y;Y;Y;Y;;;;A242;F254;;A251b;;;Y;;;Y;;Y;;Y;A272;A284;A291;A294b;Y;;;;;Y;;A314;;;A321;;F335;F345;A351;A383;A392;A404
8;A114;A25;A314;A42;A61;A52;A73;AO09;AO06;AO05;AO04;AO04;AO03;AO02;AO03;AO03;A162b;F172;;;Y;;Y;Y;Y;Y;;Y;;;;;Y;Y;;Y;;;;Y;;A242;F252;;A251b;;Y;;;;Y;Y;;Y;Y;A272;A284;A291;A293b;Y;;;;;Y;;A311;;;A321;;F335;F341;A351;A383;A392;A405
9;A117;A22;A37;A41;A62;A52;A74;AO01;AO02;AO07;AO03;AO04;AO04;AO04;AO03;AO03;A162b;F172;Y;;;;;;Y;;;Y;;;Y;;Y;Y;;Y;;;;;;A243;F254;;A253b;;Y;;;Y;;Y;Y;Y;Y;A276;A284;A291;A294b;Y;;;;;;;A314;;;A322;36;F334;F344;A355;A383;A392;A404
13;A111;A21;A34;A41;A62;A52;A74;AO02;AO05;AO01;AO03;AO04;AO02;AO05;AO01;AO01;A161b;F171;Y;;Y;;;;Y;;;;Y;;;;;;;Y;;;;;;A244;F252;;A251b;;;Y;;Y;;;Y;;Y;A274;A284;A291;A294b;;;;Y;;;;A311;;;A321;;F333;F343;A353;A382;A391;A405
14;A18;A22;A36;A41;A62;A52;A73;AO09;AO05;AO01;AO01;AO01;AO05;AO04;AO03;AO03;A161b;F171;;;Y;;;;Y;;;Y;;;;;Y;;;;;;;;;A243;F255;;A253b;;Y;;;;Y;;Y;Y;;A273;A284;A292;A294b;;;;;;;Y;A312;A3111;;A321;;F336;F346;A355;A385;A392;A405
16;A111;A22;A38;A41;A61;A52;A74;AO01;AO09;AO07;AO03;AO03;AO03;AO05;AO02;AO03;A162b;F171;;;Y;;Y;;Y;;;;;;;;Y;;;Y;Y;;Y;;;A242;F255;;A253b;;Y;;;Y;;Y;;;Y;A272;A284;A291;A294b;;;;;Y;;;A311;;;A321;;F335;F344;A353;A384;A391;A404
17;A19;A22;A35;A42;A61;A54;A74;AO05;AO04;AO11;AO04;AO02;AO03;AO03;AO02;AO04;A162b;F171;;;Y;;Y;;Y;;Y;Y;;;;;;;;Y;;;;Y;;A242;F252;Tatsächlich sehe ich mich als Leiterin in einer komplett gemischten Rolle, die alle der genannten Rollen vereint - bzw. es zumindest versucht.;A253b;;Y;;;Y;;Y;Y;Y;Y;A274;A284;A291;A294b;Y;;;;Y;Y;;A311;;;A321;;F334;F342;A353;A382;A391;A404
18;A16;A25;A314;A42;A62;A53;A73;AO06;AO01;AO04;AO03;AO02;AO04;AO04;AO03;AO02;A162b;F171;;;Y;;Y;Y;Y;;;Y;;;Y;;Y;Y;;Y;Y;;Y;;;A243;F253;;A252b;;Y;;;Y;;;Y;Y;;A274;A284;A294;A294b;;;;;;Y;;A312;A3111;;A321;;F334;F341;A357;A382;A392;A404
